RIR,Country Code,ASN Number,Allocated Date
arin,US,AS254,19881111
arin,US,AS255,19881128
arin,US,AS256,19881209
arin,US,AS257,19881222
arin,US,AS258,19881223
arin,US,AS259,19890104
arin,US,AS260,19890104
arin,US,AS262,20000711
arin,US,AS263,20000711
arin,US,AS264,19890123
arin,US,AS265,19890201
arin,US,AS266,20090721
arin,US,AS267,20000517
arin,US,AS268,19890209
arin,US,AS269,19890222
arin,US,AS270,19890224
arin,CA,AS271,19890224
arin,US,AS272,19890227
arin,US,AS273,19890303
arin,US,AS274,19890310
arin,US,AS275,20000329
arin,US,AS276,20010508
arin,US,AS277,19890331
arin,US,AS279,20020605
arin,US,AS280,20000329
arin,US,AS281,20020605
arin,,AS282,
arin,US,AS283,20090721
arin,US,AS284,19890511
arin,US,AS285,19890511
arin,US,AS287,19890517
arin,US,AS289,19890602
arin,US,AS290,19900717
arin,US,AS291,19970617
arin,US,AS292,19970616
arin,US,AS293,19970616
arin,US,AS295,19890607
arin,US,AS296,19890608
arin,US,AS297,19890609
arin,US,AS298,19890614
arin,US,AS299,19890615
arin,US,AS300,19890615
arin,US,AS301,19890621
arin,US,AS302,19890623
arin,US,AS303,19890626
arin,US,AS304,19890627
arin,US,AS305,19890627
arin,US,AS306,19890630
arin,US,AS372,19890710
arin,US,AS373,19890713
arin,US,AS374,19890718
arin,CA,AS376,19890727
arin,US,AS377,19890801
arin,US,AS379,19890804
arin,US,AS509,19890807
arin,US,AS510,20100111
arin,US,AS511,20170801
arin,US,AS512,19890823
arin,US,AS514,19890831
arin,US,AS515,19890831
arin,US,AS516,19890906
arin,US,AS518,19890908
arin,US,AS519,19890914
arin,US,AS520,19890919
arin,US,AS521,19890922
arin,US,AS522,19890925
arin,US,AS523,19890926
arin,US,AS524,20020605
arin,US,AS525,19890930
arin,US,AS526,19890929
arin,US,AS527,19890929
arin,US,AS530,19890929
arin,US,AS531,19890929
arin,US,AS532,19890929
arin,US,AS533,19890929
arin,US,AS534,19890929
arin,US,AS535,19890929
arin,US,AS536,19890929
arin,US,AS537,19890929
arin,US,AS538,19890929
arin,US,AS539,19890929
arin,US,AS540,19890929
arin,US,AS541,19890919
arin,CA,AS542,19891011
arin,US,AS543,19891017
arin,US,AS545,19891017
arin,US,AS546,19891107
arin,US,AS547,19891103
arin,US,AS548,19891108
arin,CA,AS549,19891109
arin,US,AS550,19891113
arin,US,AS551,19891113
arin,US,AS552,19891114
