RIR,Country Code,ASN Number,Allocated Date
lacnic,,AS10495,
lacnic,CO,AS10502,20010516
lacnic,BR,AS10531,19991118
lacnic,MX,AS10560,19970912
lacnic,CU,AS10569,19970918
lacnic,GT,AS10586,19970929
lacnic,,AS10600,
lacnic,AR,AS10605,19971002
lacnic,AR,AS10606,19971006
lacnic,AR,AS10617,19971006
lacnic,CO,AS10620,19971006
lacnic,VE,AS10624,19971006
lacnic,,AS10630,
lacnic,AR,AS10640,19971013
lacnic,,AS10649,
lacnic,BR,AS10670,19991117
lacnic,AR,AS10671,19971021
lacnic,BR,AS10688,19991118
lacnic,CO,AS10691,19971028
lacnic,AR,AS10697,19971029
lacnic,BR,AS10704,20000914
lacnic,MX,AS10706,19971031
lacnic,BR,AS10715,20000216
lacnic,BR,AS10733,19991117
lacnic,AR,AS10757,19971119
lacnic,CL,AS10778,19971121
lacnic,AR,AS10785,19971125
lacnic,AR,AS10795,19971201
lacnic,HT,AS10824,19971208
lacnic,AR,AS10834,19971208
lacnic,BR,AS10841,20130401
lacnic,MX,AS10847,19971210
lacnic,BR,AS10875,19991122
lacnic,BR,AS10881,19991215
lacnic,AR,AS10895,19971219
lacnic,BR,AS10897,19991118
lacnic,BR,AS10906,19991116
lacnic,BR,AS10938,20000216
lacnic,BR,AS10954,19991117
lacnic,AR,AS10964,19980217
lacnic,AR,AS10983,19980224
lacnic,,AS10986,
lacnic,AR,AS10992,19980302
lacnic,AR,AS11008,19980305
lacnic,AR,AS11014,19980309
lacnic,,AS11053,
lacnic,AR,AS11058,19980325
lacnic,AR,AS11063,19980327
lacnic,CW,AS11081,19980402
lacnic,MX,AS11083,19980403
lacnic,MX,AS11087,19980406
lacnic,BR,AS11097,19991117
lacnic,MX,AS11136,19980420
lacnic,MX,AS11172,19980505
lacnic,AR,AS11193,19980512
lacnic,CO,AS11237,19980526
lacnic,BR,AS11242,20000216
lacnic,,AS11254,
lacnic,AR,AS11256,19980603
lacnic,BR,AS11271,19991118
lacnic,BR,AS11284,19991117
lacnic,BR,AS11295,20000118
lacnic,AR,AS11311,19980624
lacnic,AR,AS11315,19980625
lacnic,BR,AS11335,20130401
lacnic,BR,AS11338,20160613
lacnic,CL,AS11340,19981109
lacnic,AR,AS11356,19980717
lacnic,AR,AS11373,19980728
