RIR,Country Code,ASN Number,Allocated Date
afrinic,ZZ,AS30306,
afrinic,ZZ,AS30429,
afrinic,MZ,AS30619,20031120
afrinic,KE,AS30896,20090928
afrinic,ZZ,AS30980,
afrinic,TG,AS30982,20140124
afrinic,MA,AS30983,20040521
afrinic,NG,AS30984,20050125
afrinic,ML,AS30985,20040609
afrinic,GH,AS30986,20040614
afrinic,ER,AS30987,20040621
afrinic,NG,AS30988,20040701
afrinic,ZZ,AS30989,
afrinic,DJ,AS30990,20040908
afrinic,ZZ,AS30991,
afrinic,CM,AS30992,20100212
afrinic,EG,AS30993,20041222
afrinic,KE,AS30994,20050124
afrinic,EG,AS30995,20050202
afrinic,ZZ,AS30996,
afrinic,GH,AS30997,20050308
afrinic,NG,AS30998,20050309
afrinic,MU,AS30999,20050322
afrinic,EG,AS31065,20070920
afrinic,TN,AS31245,20070920
afrinic,EG,AS31619,20070920
afrinic,TZ,AS31810,20031230
afrinic,ZW,AS31856,20120307
afrinic,MZ,AS31960,20040130
afrinic,MZ,AS32017,20040210
afrinic,BW,AS32279,20050915
afrinic,SZ,AS32398,20040427
afrinic,ZA,AS32437,20040503
afrinic,ZA,AS32653,20040623
afrinic,ZA,AS32714,20040708
afrinic,AO,AS32717,20040709
afrinic,ZZ,AS32842,
afrinic,TZ,AS32860,20040810
afrinic,LS,AS33567,20050124
afrinic,ZA,AS33579,20050126
afrinic,ZA,AS33762,20040929
afrinic,MU,AS33763,20041029
afrinic,MU,AS33764,20041102
afrinic,TZ,AS33765,20090129
afrinic,ZA,AS33766,20050119
afrinic,LS,AS33767,20050125
afrinic,MU,AS33768,20050127
afrinic,ZA,AS33769,20050131
afrinic,KE,AS33770,20050324
afrinic,KE,AS33771,20050411
afrinic,ZZ,AS33772,
afrinic,MW,AS33773,20050504
afrinic,DZ,AS33774,20050506
afrinic,ZZ,AS33775,
afrinic,ZZ,AS33776,
afrinic,EG,AS33777,20091118
afrinic,EG,AS33778,20050606
afrinic,DZ,AS33779,20050608
afrinic,ZZ,AS33780,
afrinic,BW,AS33781,20050706
afrinic,EG,AS33782,20050711
afrinic,ZZ,AS33783,
afrinic,ZA,AS33784,20050714
afrinic,EG,AS33785,20050714
afrinic,GH,AS33786,20050725
afrinic,ZZ,AS33787,
afrinic,SD,AS33788,20100216
afrinic,EG,AS33789,20050725
afrinic,ZA,AS33790,20150122
afrinic,TZ,AS33791,20050802
afrinic,ML,AS36864,20050808
afrinic,MZ,AS36865,20050808
afrinic,KE,AS36866,20050809
afrinic,SC,AS36867,20050818
afrinic,MU,AS36868,20160229
afrinic,ZZ,AS36869,
afrinic,EG,AS36870,20050829
afrinic,MU,AS36871,20051004
afrinic,NG,AS36872,20130531
afrinic,NG,AS36873,20051024
afrinic,ZA,AS36874,20051025
afrinic,ZA,AS36875,20051031
afrinic,UG,AS36876,20051102
afrinic,MU,AS36877,20051109
afrinic,ZZ,AS36878,
afrinic,ZZ,AS36879,
afrinic,ZZ,AS36880,
afrinic,AO,AS36881,20051207
afrinic,ZZ,AS36882,
afrinic,ZZ,AS36883,
afrinic,MA,AS36884,20071228
afrinic,EG,AS36885,20060104
afrinic,KE,AS36886,20160920
afrinic,NG,AS36887,20060116
afrinic,ZZ,AS36888,
afrinic,ZA,AS36889,20060131
afrinic,RW,AS36890,20060206
afrinic,DZ,AS36891,20060214
