RIR,Country Code,ASN Number,Allocated Date
ripencc,MD,AS1547,20001108
ripencc,EU,AS1653,19930901
ripencc,EU,AS1654,19930901
ripencc,EU,AS1663,19930901
ripencc,IL,AS1680,19930901
ripencc,EU,AS1707,19930901
ripencc,EU,AS1708,19930901
ripencc,EU,AS1709,19930901
ripencc,EU,AS1710,19930901
ripencc,EU,AS1711,19930901
ripencc,EU,AS1712,19930901
ripencc,EU,AS1713,19930901
ripencc,EU,AS1714,19930901
ripencc,EU,AS1715,19930901
ripencc,EU,AS1716,19930901
ripencc,EU,AS1717,19930901
ripencc,EU,AS1718,19930901
ripencc,EU,AS1719,19930901
ripencc,EU,AS1720,19930901
ripencc,EU,AS1721,19930901
ripencc,EU,AS1722,19930901
ripencc,EU,AS1723,19930901
ripencc,EU,AS1724,19930901
ripencc,EU,AS1725,19930901
ripencc,EU,AS1726,19930901
ripencc,SE,AS1729,19930901
ripencc,EU,AS1732,19930901
ripencc,FI,AS1738,19930901
ripencc,EU,AS1739,19930901
ripencc,FI,AS1741,19930901
ripencc,EU,AS1748,19930901
ripencc,EU,AS1752,19930901
ripencc,DE,AS1754,19930901
ripencc,SE,AS1755,19930901
ripencc,IR,AS1756,20100512
ripencc,FI,AS1759,19930901
ripencc,AT,AS1764,19930901
ripencc,EU,AS1770,19930901
ripencc,EU,AS1771,19930901
ripencc,EU,AS1774,19930901
ripencc,AT,AS1776,19930901
ripencc,FI,AS1780,19930901
ripencc,SE,AS1833,19930901
ripencc,EU,AS1835,19930901
ripencc,CH,AS1836,19930901
ripencc,EU,AS1837,19930901
ripencc,EU,AS1841,19930901
ripencc,EU,AS1849,19930901
ripencc,IS,AS1850,19930901
ripencc,AT,AS1853,19930901
ripencc,EU,AS1854,19930901
ripencc,SE,AS1878,19930901
ripencc,SE,AS1879,19930901
ripencc,SE,AS1880,19930901
ripencc,SE,AS1881,19930901
ripencc,SE,AS1882,19930901
ripencc,SE,AS1883,19930901
ripencc,TR,AS1885,20100225
ripencc,HR,AS1886,20100226
ripencc,PL,AS1887,19930901
ripencc,NL,AS1888,19930901
ripencc,EU,AS1889,19920820
ripencc,NL,AS1890,19920825
ripencc,DE,AS1893,19930901
ripencc,DE,AS1895,19920825
ripencc,PT,AS1897,19920922
ripencc,DE,AS1898,19921005
ripencc,AT,AS1901,19921106
ripencc,SK,AS1902,19930901
ripencc,EU,AS1903,19930901
ripencc,AT,AS1921,19930901
ripencc,SK,AS1922,19930901
ripencc,EU,AS1923,19930901
ripencc,FI,AS1926,19930901
ripencc,PT,AS1930,19930901
ripencc,EU,AS1935,19930901
ripencc,EU,AS1936,19930901
ripencc,EU,AS1937,19930901
ripencc,EU,AS1938,19930901
ripencc,EU,AS1939,19930901
ripencc,EU,AS1940,19930901
ripencc,EU,AS1941,19930901
ripencc,EU,AS1942,19930901
ripencc,EU,AS1943,19930901
ripencc,EU,AS1944,19930901
ripencc,EU,AS1945,19930901
ripencc,EU,AS1946,19930901
ripencc,EU,AS1947,19930901
ripencc,EU,AS1948,19930901
ripencc,EU,AS1949,19930901
ripencc,EU,AS1950,19930901
ripencc,EU,AS1951,19930901
ripencc,EU,AS1952,19930901
ripencc,EU,AS1953,19930901
ripencc,EU,AS1954,19930901
ripencc,HU,AS1955,19930901
ripencc,EU,AS1960,19930901
ripencc,EU,AS1961,19930901
ripencc,EU,AS1962,19930901
ripencc,EU,AS1967,19930901
ripencc,NL,AS2004,19930901
ripencc,HU,AS2012,19930901
ripencc,EU,AS2016,19930901
ripencc,FI,AS2017,19921113
ripencc,FI,AS2026,19930901
ripencc,FR,AS2027,20110112
ripencc,EU,AS2028,19930901
ripencc,EU,AS2029,19930901
ripencc,AT,AS2036,19930901
ripencc,IT,AS2038,19930901
ripencc,IT,AS2039,19930901
ripencc,IT,AS2040,19930901
ripencc,NL,AS2043,19930901
ripencc,EU,AS2045,19930901
ripencc,CH,AS2047,19940526
