RIR,Country Code,ASN Number,Allocated Date
apnic,TH,AS4776,19960904
apnic,JP,AS4777,19960809
apnic,AU,AS4778,20031008
apnic,PH,AS4779,20030611
apnic,TW,AS4780,19960709
apnic,TH,AS4784,19960913
apnic,JP,AS4785,20180222
apnic,AU,AS4786,20100524
apnic,ID,AS4787,19961015
apnic,MY,AS4788,19961020
apnic,CN,AS4789,19961028
apnic,KR,AS4790,19961008
apnic,AU,AS4794,19961029
apnic,ID,AS4795,19961030
apnic,ID,AS4796,19961106
apnic,IN,AS4797,20030828
apnic,CN,AS4798,19960223
apnic,CN,AS4799,19960104
apnic,ID,AS4800,19961225
apnic,AU,AS4801,20160708
apnic,AU,AS4802,19961118
apnic,HK,AS4803,20220919
apnic,AU,AS4804,19961107
apnic,AU,AS4805,19961106
apnic,AU,AS4806,19961025
apnic,CN,AS4808,19960109
apnic,CN,AS4809,19960109
apnic,CN,AS4811,19990512
apnic,CN,AS4812,19960109
apnic,CN,AS4814,19960109
apnic,CN,AS4815,19960109
apnic,SG,AS4817,20011130
apnic,MY,AS4818,20011207
apnic,AU,AS4819,20100406
apnic,AU,AS4820,20011211
apnic,ID,AS4821,20011211
apnic,AU,AS4822,20011217
apnic,TH,AS4823,20011217
apnic,AU,AS4824,20011220
apnic,AU,AS4825,20050614
apnic,AU,AS4826,20011224
apnic,TH,AS4827,20011227
apnic,HK,AS4828,20011231
apnic,AU,AS4829,20050906
apnic,NZ,AS4830,20010612
apnic,NZ,AS4831,20040812
apnic,ID,AS4832,20010613
apnic,NZ,AS4834,20010614
apnic,CN,AS4835,20010913
apnic,SG,AS4836,20010913
apnic,CN,AS4837,20010917
apnic,AU,AS4838,20050727
apnic,CN,AS4839,20010919
apnic,AU,AS4841,20100908
apnic,CN,AS4842,20190614
apnic,CN,AS4843,20010924
apnic,SG,AS4844,20010925
apnic,TW,AS4845,20010925
apnic,AU,AS4846,20021015
apnic,CN,AS4847,19960910
apnic,HK,AS4848,19951015
